## [BeGaze]
## Converted from:	\\Ivr-x-1134-0601\shareddocs\sm\procenko001-002.idf
## Date:	25.04.2015 14:47:46
## Version:	BeGaze 3.5.101
## IDF Version:	9
## Sample Rate:	250
## Separator Type:	Trial
## Trial Count:	21
## Uses Plane File:	False
## Number of Samples:	39861
## Reversed:	none
## [Run]
## Subject:	procenko001-002
## Description:	Run27
## [Calibration]
## Calibration Area:	1920	1080
## Calibration Point 0:	Position(960;540)
## Calibration Point 1:	Position(480;108)
## Calibration Point 2:	Position(1728;270)
## Calibration Point 3:	Position(1440;972)
## Calibration Point 4:	Position(192;810)
## [Geometry]
## Stimulus Dimension [mm]:	474	297
## Head Distance [mm]:	700
## [Hardware Setup]
## System ID:	IVR-X-1134-06012-NRB
## Operating System :	5.1
## IView X Version:	2.7.13
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	True
## Gaze Cursor Filter:	True
## Saccade Length [px]:	80
## Filter Depth [ms]:	20
## Format:	LEFT, POR
##
Time,Type,Trial,L POR X [px],L POR Y [px],L Event Info
22792918986,SMP,18,516.07,195.05,Blink
22792922966,SMP,18,515.63,195.41,Blink
22792926945,SMP,18,517.56,196.81,Blink
22792930960,SMP,18,615.39,197.85,Blink
22792934965,SMP,18,662.65,199.10,Blink
22792938991,SMP,18,520.09,193.28,Blink
22792942945,SMP,18,317.00,471.25,Blink
22792946961,SMP,18,0.00,0.00,Blink
22792950971,SMP,18,0.00,0.00,Blink
22792954951,SMP,18,0.00,0.00,Blink
22792958977,SMP,18,0.00,0.00,Blink
22792962951,SMP,18,0.00,0.00,Blink
22792966964,SMP,18,0.00,0.00,Blink
22792970959,SMP,18,0.00,0.00,Blink
22792974953,SMP,18,0.00,0.00,Blink
22792978952,SMP,18,0.00,0.00,Blink
22792982983,SMP,18,0.00,0.00,Blink
22792986962,SMP,18,0.00,0.00,Blink
22792990985,SMP,18,0.00,0.00,Blink
22792994946,SMP,18,0.00,0.00,Blink
22792998953,SMP,18,0.00,0.00,Blink
22793002989,SMP,18,0.00,0.00,Blink
22793006973,SMP,18,0.00,0.00,Blink
22793010950,SMP,18,0.00,0.00,Blink
22793014968,SMP,18,0.00,0.00,Blink
22793018959,SMP,18,0.00,0.00,Blink
22793022956,SMP,18,0.00,0.00,Blink
22793026947,SMP,18,0.00,0.00,Blink
22793030972,SMP,18,0.00,0.00,Blink
22793034952,SMP,18,0.00,0.00,Blink
22793038966,SMP,18,0.00,0.00,Blink
22793042951,SMP,18,1293.32,313.27,Blink
22793046972,SMP,18,0.00,0.00,Blink
22793050954,SMP,18,0.00,0.00,Blink
22793054959,SMP,18,0.00,0.00,Blink
22793058976,SMP,18,0.00,0.00,Blink
22793062948,SMP,18,0.00,0.00,Blink
22793066948,SMP,18,259.06,559.60,Blink
22793070998,SMP,18,1201.39,493.62,Blink
22793074955,SMP,18,630.74,277.48,Blink
22793078950,SMP,18,754.38,293.75,Blink
22793082978,SMP,18,671.21,258.91,Blink
22793086954,SMP,18,630.34,231.76,Blink
22793090952,SMP,18,517.89,213.53,Blink
22793094950,SMP,18,523.30,203.20,Blink
22793098995,SMP,18,529.72,199.26,Blink
22793102991,SMP,18,535.67,202.86,Fixation
22793106952,SMP,18,534.70,204.03,Fixation
22793110948,SMP,18,533.35,209.46,Fixation
22793114970,SMP,18,530.22,207.77,Fixation
22793118962,SMP,18,527.39,213.74,Fixation
22793122951,SMP,18,526.82,214.25,Fixation
22793126947,SMP,18,526.25,206.24,Fixation
22793130992,SMP,18,525.17,207.25,Fixation
22793134954,SMP,18,523.88,206.40,Fixation
22793138955,SMP,18,522.72,204.20,Fixation
22793142950,SMP,18,521.81,202.39,Fixation
22793146980,SMP,18,519.39,205.43,Fixation
22793150984,SMP,18,518.97,203.74,Fixation
22793154957,SMP,18,519.01,203.37,Fixation
22793158949,SMP,18,519.18,202.63,Fixation
22793162965,SMP,18,520.74,201.24,Fixation
22793166966,SMP,18,519.82,200.41,Fixation
22793170978,SMP,18,518.03,201.34,Fixation
22793174950,SMP,18,517.34,201.46,Fixation
22793178999,SMP,18,517.59,202.93,Fixation
22793182992,SMP,18,516.98,204.14,Fixation
22793186975,SMP,18,512.86,205.24,Fixation
22793190948,SMP,18,512.72,205.56,Fixation
22793194974,SMP,18,512.80,206.02,Fixation
22793198998,SMP,18,507.56,205.45,Fixation
22793202967,SMP,18,506.48,204.95,Fixation
22793206947,SMP,18,505.70,204.39,Fixation
22793210953,SMP,18,505.13,203.30,Fixation
22793214988,SMP,18,506.07,202.78,Fixation
22793218988,SMP,18,505.77,201.67,Fixation
22793222947,SMP,18,504.65,199.95,Fixation
22793226953,SMP,18,504.72,198.37,Fixation
22793231008,SMP,18,507.15,197.97,Fixation
22793234951,SMP,18,509.81,197.81,Fixation
22793238952,SMP,18,510.01,198.28,Fixation
22793242957,SMP,18,510.70,198.70,Fixation
22793247007,SMP,18,512.23,199.22,Fixation
22793250950,SMP,18,513.38,198.61,Fixation
22793254949,SMP,18,513.32,197.95,Fixation
22793258961,SMP,18,512.88,198.54,Fixation
22793262964,SMP,18,514.83,197.62,Fixation
22793266978,SMP,18,513.36,197.34,Fixation
22793270949,SMP,18,515.07,197.52,Fixation
22793274995,SMP,18,515.23,197.67,Fixation
22793278956,SMP,18,512.28,196.97,Fixation
22793282958,SMP,18,512.60,195.39,Fixation
22793286951,SMP,18,510.49,193.26,Fixation
22793290978,SMP,18,505.09,190.45,Fixation
22793295001,SMP,18,494.93,187.19,Fixation
22793298965,SMP,18,494.31,185.60,Fixation
22793302948,SMP,18,486.59,184.23,Fixation
22793306967,SMP,18,493.45,183.85,Fixation
22793310995,SMP,18,493.89,184.18,Fixation
22793314992,SMP,18,493.76,182.90,Fixation
22793318948,SMP,18,494.83,182.62,Fixation
22793322998,SMP,18,491.51,181.77,Fixation
22793326987,SMP,18,487.12,182.87,Fixation
22793330958,SMP,18,485.37,185.05,Fixation
22793334950,SMP,18,486.25,184.72,Fixation
22793338968,SMP,18,490.37,186.31,Fixation
22793342990,SMP,18,492.31,186.66,Fixation
22793346957,SMP,18,491.33,187.83,Fixation
22793350953,SMP,18,491.01,188.24,Fixation
22793354982,SMP,18,489.84,188.20,Fixation
22793358965,SMP,18,489.47,188.18,Fixation
22793362994,SMP,18,489.18,188.46,Fixation
22793366951,SMP,18,491.22,188.07,Fixation
22793370977,SMP,18,491.39,186.89,Fixation
22793374995,SMP,18,493.92,186.43,Fixation
22793378982,SMP,18,495.06,186.24,Fixation
22793382950,SMP,18,497.60,186.56,Fixation
22793386973,SMP,18,499.14,186.98,Fixation
22793391012,SMP,18,500.23,186.55,Fixation
22793394959,SMP,18,501.39,187.27,Fixation
22793398961,SMP,18,502.68,186.59,Fixation
22793403000,SMP,18,502.91,186.21,Fixation
22793406993,SMP,18,501.52,185.86,Fixation
22793410971,SMP,18,499.70,186.38,Fixation
22793414948,SMP,18,502.04,186.71,Fixation
22793418979,SMP,18,502.98,186.90,Fixation
22793423003,SMP,18,502.07,186.45,Fixation
22793426958,SMP,18,501.30,186.55,Fixation
22793430951,SMP,18,499.86,186.54,Fixation
22793434991,SMP,18,498.03,187.55,Fixation
22793439008,SMP,18,499.21,187.57,Fixation
22793442976,SMP,18,499.48,188.51,Saccade
22793446954,SMP,18,500.47,190.56,Saccade
22793450969,SMP,18,506.63,194.61,Saccade
22793455003,SMP,18,526.50,199.73,Saccade
22793458956,SMP,18,544.62,203.29,Saccade
22793462950,SMP,18,535.26,205.93,Fixation
22793466957,SMP,18,527.92,200.90,Fixation
22793470994,SMP,18,529.85,202.87,Fixation
22793474958,SMP,18,525.54,203.51,Fixation
22793478951,SMP,18,532.39,200.97,Fixation
22793482977,SMP,18,534.29,205.12,Fixation
22793486965,SMP,18,533.39,206.72,Fixation
22793490960,SMP,18,538.96,208.96,Fixation
22793494952,SMP,18,544.56,211.12,Fixation
22793498974,SMP,18,541.28,209.91,Fixation
22793502967,SMP,18,539.71,208.07,Fixation
22793506982,SMP,18,540.82,206.90,Fixation
22793510956,SMP,18,540.56,206.99,Fixation
22793514961,SMP,18,542.70,208.53,Fixation
22793518993,SMP,18,546.95,209.87,Fixation
22793522962,SMP,18,550.58,209.55,Fixation
22793526953,SMP,18,552.04,210.45,Fixation
22793530992,SMP,18,553.88,209.93,Fixation
22793535000,SMP,18,555.50,210.08,Fixation
22793538953,SMP,18,555.93,209.42,Fixation
22793542954,SMP,18,556.95,208.37,Fixation
22793546991,SMP,18,557.37,207.08,Fixation
22793550993,SMP,18,557.04,207.99,Fixation
22793554968,SMP,18,558.59,209.05,Fixation
